datetime,open,high,low,close,volume,hold
2025-04-22 13:24:00,108.93,108.94,108.93,108.935,37,187762
2025-04-22 13:25:00,108.935,108.945,108.935,108.945,91,187764
2025-04-22 13:26:00,108.94,108.96,108.94,108.96,526,187775
2025-04-22 13:27:00,108.96,108.96,108.95,108.96,140,187791
2025-04-22 13:28:00,108.96,108.96,108.95,108.95,86,187795
2025-04-22 13:29:00,108.955,108.955,108.95,108.95,79,187824
2025-04-22 13:30:00,108.95,108.96,108.95,108.955,59,187810
2025-04-22 13:31:00,108.955,108.97,108.955,108.965,339,187812
2025-04-22 13:32:00,108.965,108.97,108.96,108.965,170,187841
2025-04-22 13:33:00,108.965,108.965,108.955,108.955,124,187835
2025-04-22 13:34:00,108.955,108.955,108.94,108.94,334,187823
2025-04-22 13:35:00,108.94,108.95,108.94,108.95,60,187820
2025-04-22 13:36:00,108.95,108.96,108.95,108.96,138,187864
2025-04-22 13:37:00,108.96,108.96,108.95,108.96,148,187840
2025-04-22 13:38:00,108.96,108.96,108.95,108.955,74,187864
2025-04-22 13:39:00,108.955,108.96,108.95,108.96,126,187858
2025-04-22 13:40:00,108.955,108.96,108.955,108.955,53,187875
2025-04-22 13:41:00,108.955,108.955,108.95,108.955,67,187868
2025-04-22 13:42:00,108.955,108.955,108.945,108.945,70,187863
2025-04-22 13:43:00,108.945,108.95,108.945,108.95,51,187849
2025-04-22 13:44:00,108.95,108.955,108.945,108.95,57,187863
2025-04-22 13:45:00,108.95,108.95,108.945,108.95,50,187879
2025-04-22 13:46:00,108.95,108.955,108.95,108.95,14,187878
2025-04-22 13:47:00,108.95,108.955,108.95,108.955,16,187878
2025-04-22 13:48:00,108.955,108.955,108.95,108.95,19,187877
2025-04-22 13:49:00,108.95,108.955,108.95,108.95,109,187895
2025-04-22 13:50:00,108.95,108.965,108.95,108.965,255,187975
2025-04-22 13:51:00,108.965,108.965,108.955,108.96,180,188044
2025-04-22 13:52:00,108.96,108.965,108.95,108.95,151,188034
2025-04-22 13:53:00,108.95,108.955,108.95,108.955,90,188056
2025-04-22 13:54:00,108.955,108.96,108.955,108.96,28724,188098
2025-04-22 13:55:00,108.96,108.96,108.95,108.955,104,188110
2025-04-22 13:56:00,108.955,108.955,108.945,108.95,142,188142
2025-04-22 13:57:00,108.95,108.96,108.95,108.955,87,188167
2025-04-22 13:58:00,108.955,108.96,108.95,108.96,108,188207
2025-04-22 13:59:00,108.96,108.965,108.955,108.965,298,188151
2025-04-22 14:00:00,108.965,108.965,108.955,108.955,54,188148
2025-04-22 14:01:00,108.955,108.96,108.95,108.955,160,188143
2025-04-22 14:02:00,108.955,108.965,108.955,108.96,86,188170
2025-04-22 14:03:00,108.96,108.975,108.96,108.965,414,188211
2025-04-22 14:04:00,108.965,108.965,108.955,108.955,122,188196
2025-04-22 14:05:00,108.955,108.96,108.95,108.955,108,188248
2025-04-22 14:06:00,108.955,108.96,108.955,108.955,105,188241
2025-04-22 14:07:00,108.955,108.955,108.94,108.945,227,188198
2025-04-22 14:08:00,108.945,108.945,108.94,108.94,14,188199
2025-04-22 14:09:00,108.94,108.95,108.94,108.95,81,188212
2025-04-22 14:10:00,108.95,108.95,108.945,108.945,109,188207
2025-04-22 14:11:00,108.945,108.955,108.945,108.955,325,188234
2025-04-22 14:12:00,108.95,108.95,108.94,108.94,64,188242
2025-04-22 14:13:00,108.945,108.95,108.94,108.945,56,188249
2025-04-22 14:14:00,108.945,108.945,108.93,108.94,445,188240
2025-04-22 14:15:00,108.94,108.955,108.94,108.955,131,188246
2025-04-22 14:16:00,108.955,108.96,108.95,108.955,189,188295
2025-04-22 14:17:00,108.955,108.96,108.955,108.96,133,188312
2025-04-22 14:18:00,108.96,108.96,108.955,108.96,160,188394
2025-04-22 14:19:00,108.955,108.96,108.955,108.955,63,188389
2025-04-22 14:20:00,108.955,108.965,108.955,108.965,121,188421
2025-04-22 14:21:00,108.965,108.97,108.955,108.955,150,188412
2025-04-22 14:22:00,108.955,108.96,108.955,108.96,48,188400
2025-04-22 14:23:00,108.96,108.965,108.955,108.965,26,188390
2025-04-22 14:24:00,108.965,108.965,108.96,108.965,97,188412
2025-04-22 14:25:00,108.965,108.97,108.965,108.97,95,188436
2025-04-22 14:26:00,108.97,108.97,108.96,108.965,86,188447
2025-04-22 14:27:00,108.96,108.965,108.955,108.96,56,188446
2025-04-22 14:28:00,108.96,108.96,108.95,108.955,58,188480
2025-04-22 14:29:00,108.955,108.96,108.95,108.95,59,188497
2025-04-22 14:30:00,108.955,108.96,108.95,108.96,56,188461
2025-04-22 14:31:00,108.96,108.965,108.955,108.955,177,188525
2025-04-22 14:32:00,108.955,108.965,108.945,108.96,266,188539
2025-04-22 14:33:00,108.96,108.96,108.955,108.96,125,188570
2025-04-22 14:34:00,108.955,108.955,108.95,108.95,105,188558
2025-04-22 14:35:00,108.95,108.955,108.945,108.95,53,188546
2025-04-22 14:36:00,108.95,108.95,108.94,108.945,156,188632
2025-04-22 14:37:00,108.945,108.95,108.945,108.95,98,188637
2025-04-22 14:38:00,108.95,108.95,108.935,108.94,168,188657
2025-04-22 14:39:00,108.935,108.945,108.935,108.94,185,188719
2025-04-22 14:40:00,108.94,108.945,108.94,108.94,32,188730
2025-04-22 14:41:00,108.94,108.945,108.935,108.935,88,188748
2025-04-22 14:42:00,108.94,108.94,108.93,108.935,106,188724
2025-04-22 14:43:00,108.935,108.935,108.925,108.935,143,188659
2025-04-22 14:44:00,108.935,108.935,108.925,108.925,182,188683
2025-04-22 14:45:00,108.925,108.93,108.91,108.91,298,188705
2025-04-22 14:46:00,108.91,108.925,108.91,108.92,324,188732
2025-04-22 14:47:00,108.915,108.92,108.91,108.92,54,188716
2025-04-22 14:48:00,108.92,108.925,108.915,108.925,83,188686
2025-04-22 14:49:00,108.925,108.935,108.925,108.93,190,188711
2025-04-22 14:50:00,108.93,108.93,108.92,108.93,110,188681
2025-04-22 14:51:00,108.93,108.93,108.925,108.93,87,188687
2025-04-22 14:52:00,108.93,108.93,108.925,108.93,200,188682
2025-04-22 14:53:00,108.93,108.95,108.93,108.95,155,188636
2025-04-22 14:54:00,108.95,108.95,108.94,108.945,166,188569
2025-04-22 14:55:00,108.94,108.945,108.935,108.935,67,188568
2025-04-22 14:56:00,108.935,108.94,108.935,108.94,55,188570
2025-04-22 14:57:00,108.94,108.94,108.935,108.935,21,188557
2025-04-22 14:58:00,108.935,108.945,108.935,108.94,60,188550
2025-04-22 14:59:00,108.94,108.945,108.93,108.935,156,188543
2025-04-22 15:00:00,108.935,108.94,108.93,108.935,105,188505
2025-04-22 15:01:00,108.94,108.965,108.935,108.96,353,188519
2025-04-22 15:02:00,108.96,108.965,108.955,108.96,382,188527
2025-04-22 15:03:00,108.96,108.96,108.94,108.96,574,188724
2025-04-22 15:04:00,108.955,108.97,108.955,108.96,538,188799
2025-04-22 15:05:00,108.96,108.96,108.955,108.96,199,188854
2025-04-22 15:06:00,108.96,108.96,108.955,108.96,122,188891
2025-04-22 15:07:00,108.96,108.96,108.955,108.955,120,188907
2025-04-22 15:08:00,108.955,108.96,108.955,108.96,161,188944
2025-04-22 15:09:00,108.96,108.96,108.955,108.96,121,188934
2025-04-22 15:10:00,108.96,108.97,108.96,108.96,267,188967
2025-04-22 15:11:00,108.965,108.975,108.965,108.975,259,189033
2025-04-22 15:12:00,108.975,108.98,108.97,108.98,280,189100
2025-04-22 15:13:00,108.975,108.985,108.975,108.98,276,189174
2025-04-22 15:14:00,108.98,108.99,108.975,108.98,331,189293
2025-04-22 15:15:00,108.98,108.985,108.965,108.97,368,189451
2025-04-23 09:31:00,108.845,108.85,108.78,108.785,3069,188965
2025-04-23 09:32:00,108.785,108.795,108.76,108.77,1698,188740
2025-04-23 09:33:00,108.765,108.775,108.735,108.75,6271,188726
2025-04-23 09:34:00,108.75,108.77,108.74,108.76,1313,188883
2025-04-23 09:35:00,108.755,108.775,108.755,108.77,607,188842
2025-04-23 09:36:00,108.765,108.765,108.735,108.745,1004,188860
2025-04-23 09:37:00,108.745,108.76,108.745,108.75,501,188908
2025-04-23 09:38:00,108.75,108.765,108.75,108.76,336,188903
2025-04-23 09:39:00,108.765,108.78,108.75,108.78,494,188936
2025-04-23 09:40:00,108.78,108.785,108.775,108.78,560,188862
2025-04-23 09:41:00,108.785,108.81,108.785,108.805,745,188768
2025-04-23 09:42:00,108.805,108.835,108.8,108.83,567,188612
2025-04-23 09:43:00,108.83,108.84,108.825,108.83,281,188602
2025-04-23 09:44:00,108.83,108.835,108.81,108.81,268,188618
2025-04-23 09:45:00,108.81,108.815,108.805,108.81,188,188617
2025-04-23 09:46:00,108.81,108.815,108.81,108.815,13605,188605
2025-04-23 09:47:00,108.815,108.815,108.805,108.81,192,188544
2025-04-23 09:48:00,108.81,108.815,108.805,108.81,206,188525
